,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
994,146603,0.0,0.0,0.0,0.0,3,0.566920566,3293.0,24300,32400,33400,27100,35600,42500
995,146612,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.549180328,4372.0,39300,42500,46600,46700,53000,56600
996,146667,0.0,0.0,0.0,0.0,3,0.427966102,440.0,23600,28800,30300,30000,38200,42500
997,146676,0.0,0.0,0.0,0.0,3,0.524752475,1043.0,22000,27400,26400,30400,33700,39300
998,146685,0.0,0.0,0.0,0.0,3,0.583903421,4530.0,23300,30600,35600,28600,36800,41200
999,146700,0.0,0.0,0.0,0.0,3,0.42693044,719.0,26500,36500,38800,36200,46800,47600
1000,146719,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.685300668,11193.0,45000,44300,45700,67000,60200,63800
1005,146825,0.0,0.0,Degree in Computer Science,0.0,3,0.473684211,521.0,30200,33600,33100,33700,39600,44200
1007,147004,0.0,0.0,0.0,0.0,3,0.569927774,4324.0,28400,34600,33800,32900,37700,40900
1008,147013,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.542563143,2065.0,31700,40700,43300,42200,50700,54500
1012,147244,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.544904137,1883.0,31600,34100,37100,40500,46000,51200
1013,147341,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.459882583,1010.0,30900,33400,36200,39700,47100,48300
1015,147378,0.0,0.0,0.0,0.0,3,0.565672845,11104.0,27800,32100,32400,34800,41100,48200
1019,147536,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.751385042,1758.0,33000,47500,63000,38200,54300,63500
1022,147660,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.538636364,2688.0,36200,38600,40600,47400,52800,53700
1023,147679,0.0,Degree in Math,0.0,0.0,3,0.612807882,2018.0,36600,39900,42400,43700,45000,47200
1025,147703,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.534562212,13430.0,36100,38600,42000,46300,49100,52300
1026,147749,0.0,0.0,0.0,0.0,3,0.884730539,67.0,24300,31600,32300,28600,38300,45400
1027,147767,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.524346793,8489.0,70100,74500,71500,99900,89100,92000
1028,147776,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.605946792,7014.0,32500,37600,40300,39300,44800,45300
1031,147828,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.625714286,3356.0,32800,38200,42800,37300,44000,46800
1032,147916,0.0,0.0,0.0,0.0,3,0.53728,5647.0,24300,30500,36700,31000,37400,44100
1033,148007,0.0,0.0,0.0,0.0,3,0.630948057,3573.0,25300,30900,41200,30700,37800,42500
1036,148131,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.53869969,898.0,32400,34900,35300,34900,47800,51200
1038,148177,0.0,0.0,0.0,0.0,3,0.541433371,752.0,25500,30700,32900,33500,39600,41500
1039,148256,0.0,0.0,0.0,0.0,3,0.58974359,1505.0,23100,29200,31200,27400,35700,38800
1041,148335,0.0,0.0,Degree in Computer Science,0.0,3,0.488625124,1971.0,28400,36500,38300,30300,40400,48500
1042,148380,0.0,0.0,0.0,0.0,3,0.598188555,5732.0,25800,31800,33300,30700,38200,38200
1043,148399,0.0,0.0,0.0,0.0,3,0.620714286,465.0,25200,26300,27000,32200,34200,36400
1044,148405,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.56996587,1018.0,33600,39800,40500,44300,49400,49100
1045,148487,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.66152768,2485.0,35500,42600,41100,42400,49800,51700
1046,148496,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.697357886,2155.0,37000,37800,41000,45700,50200,52600
1049,148584,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.644846797,1563.0,44900,44900,49400,54500,55000,58100
1051,148627,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.664906103,2927.0,36800,42200,44500,44900,52600,53100
1052,148654,0.0,B.S. Math,Degree in Computer Science,0.0,3,0.570469799,2833.0,34300,38600,43100,45900,50600,54200
1053,148672,0.0,0.0,0.0,0.0,3,0.590561225,1315.0,24500,32200,32600,30700,39200,44600
1063,149222,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.489628925,10896.0,33500,36700,39500,49700,48200,50400
1064,149231,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.579223929,11339.0,38500,38100,41200,50400,49100,52500
1069,149505,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.688816856,1028.0,38900,39800,40000,46000,44100,44300
1070,149514,0.0,Degree in Math,0.0,0.0,3,0.43083004,750.0,34400,35500,36300,44400,44600,47000
1071,149532,0.0,0.0,0.0,0.0,3,0.617593158,8073.0,27700,32200,34300,37000,40900,42600
1074,149727,0.0,0.0,0.0,0.0,3,0.578151838,7067.0,27700,36100,35000,31300,41200,42800
1076,149772,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.561496044,7599.0,34600,36400,38600,42600,46300,50700
1077,149781,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.527700831,2356.0,38000,36200,41800,59500,59200,61500
1078,149842,0.0,0.0,0.0,0.0,3,0.576856221,11027.0,32400,36000,37200,39000,45300,48100
1079,150048,0.0,0.0,0.0,0.0,3,0.527874565,510.0,23200,33400,38400,28900,35700,41600
1080,150066,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.563517915,1506.0,28000,33400,35500,41000,41700,41200
1081,150136,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.598226656,16277.0,32900,35100,36200,40300,43200,46900
1082,150145,Degree in Engineering,Degree in Math,0.0,0.0,3,0.66319896,1254.0,30100,39400,37000,40900,43200,43600
1083,150163,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.60110421,4197.0,57400,56700,54000,69500,65300,70100
1084,150172,0.0,0.0,Degree in Computer Science,0.0,3,0.502590674,585.0,30700,38900,55000,37000,43300,63800
1089,150400,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.502446982,2137.0,46400,38100,45800,54400,56800,72100
1093,150534,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.613607189,2049.0,37300,39400,42600,42300,50700,50000
1094,150604,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.46628131,978.0,31300,33200,38600,37300,42400,51000
1095,150668,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.670673077,855.0,25700,35500,39800,40000,43100,42600
1096,150677,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.628865979,1447.0,31500,32300,33000,29700,40900,37400
1102,150987,0.0,0.0,0.0,0.0,3,0.627660353,61700.0,25300,32600,34500,29200,37100,39700
1103,151102,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.587204451,7708.0,29400,32700,36500,35100,41200,43200
1104,151111,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.609940853,20870.0,38400,40800,40300,52900,49200,49800
1105,151166,0.0,0.0,Degree in Computer Science,0.0,3,0.804054054,2033.0,21300,29900,33100,23100,30200,32500
1106,151263,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.675318547,4384.0,32500,38700,41400,40300,43100,51600
1107,151290,Degree in Engineering,0.0,Degree in Computer Science,0.0,3,0.661044703,6899.0,28000,41700,44800,38700,51300,55200
1108,151306,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.640927775,7554.0,28600,33400,35200,36300,40900,42400
1109,151324,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.585659368,10817.0,30700,34100,37600,40700,42100,44300
1110,151333,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.677976953,2746.0,30000,35300,37700,35700,42000,44700
1111,151342,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.628215768,4790.0,29100,32500,34000,33800,39800,41100
1112,151351,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.531570727,33104.0,39300,41100,46700,57600,52500,60200
1113,151360,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.705784205,3549.0,28700,36900,37300,35500,43500,45100
1114,151379,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.645886344,4722.0,31000,33900,34100,37700,42600,46500
1115,151388,0.0,B.S. Math,Degree in Computer Science,0.0,3,0.678467789,2969.0,26500,32500,41800,28700,38300,41300
1116,151458,0.0,0.0,0.0,0.0,3,0.77970297,244.0,24200,26200,26600,27100,30100,29800
1117,151467,0.0,0.0,0.0,0.0,3,0.77970297,319.0,24200,26200,26600,27100,30100,29800
1120,151616,0.0,0.0,0.0,0.0,3,0.677497162,123.0,25200,30200,32000,29300,33100,35300
1122,151661,0.0,0.0,0.0,0.0,3,0.079074719,792.0,25900,33600,38100,32100,40100,44600
1123,151777,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.536684783,1257.0,31600,32900,35100,39100,42400,46100
1124,151786,0.0,Degree in Math,0.0,0.0,3,0.665194996,2173.0,35400,43700,43100,40400,48200,49000
1125,151801,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.729889299,2685.0,35100,46300,55900,39500,53800,64700
1128,151944,0.0,0.0,0.0,0.0,3,0.677497162,90.0,25200,30200,32000,29300,33100,35300
1131,152080,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.460440214,8527.0,72000,72800,68600,106000,100800,96000
1132,152099,0.0,Degree in Math,0.0,0.0,3,0.569536424,484.0,26200,31700,36200,29800,39300,46000
1138,152336,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.722271517,1840.0,33700,35900,38000,39000,44000,45700
1139,152381,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.91314554,631.0,24800,28700,31800,28900,31800,35200
1141,152415,0.0,0.0,0.0,0.0,3,0.920879121,298.0,19400,28000,25500,23400,28800,34300
1144,152530,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.601637108,1858.0,27300,29800,34200,38600,40600,45200
1145,152567,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.391951006,1939.0,32100,37100,46600,35700,47100,60100
1146,152600,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.571043771,3186.0,38300,40000,44500,50600,51300,57000
1148,152637,0.0,0.0,0.0,0.0,3,0.451824339,6797.0,25100,32000,34100,31900,36500,41600
1151,152992,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.570754717,928.0,31500,37700,40100,39500,42600,49200
1152,153001,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.689291101,1692.0,30800,36900,41300,36800,43300,47300
1154,153083,0.0,0.0,0.0,0.0,4,0.930693069,145.0,20700,25300,21000,23700,25600,25400
1155,153108,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.489619377,1198.0,32500,37800,37900,46200,46200,50000
1156,153126,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.608695652,757.0,34700,38900,43500,39900,45300,47000
1157,153144,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.574780059,1350.0,35200,37000,40400,46400,53500,48900
1160,153214,0.0,0.0,0.0,0.0,4,0.547203034,12521.0,26400,34400,35400,30400,40000,43100
1162,153250,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.482078853,1353.0,36600,35600,40100,37400,44300,48300
1163,153269,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.609756098,3038.0,48800,49800,57300,60900,65900,71700
1164,153278,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.42459605,1955.0,32800,36000,36900,37000,42500,46300
1165,153296,0.0,0.0,0.0,0.0,4,0.409733124,691.0,23700,30000,34500,30600,35800,41300
1167,153311,0.0,0.0,0.0,0.0,4,0.626948052,3185.0,25000,31400,35000,29300,37400,39400
1170,153366,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.547762999,1208.0,32200,41400,47700,35100,39500,45800
1171,153375,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.545623836,1753.0,34900,41500,41500,40700,44000,49500
1173,153409,0.0,0.0,Degree in Computer Science,0.0,4,0.796749238,133.0,22500,35500,50700,29700,44400,58700
1174,153418,0.0,0.0,Degree in Computer Science,0.0,4,0.796749238,417.0,22500,35500,50700,29700,44400,58700
1176,153445,0.0,0.0,0.0,0.0,4,0.534383404,3499.0,27500,33400,37200,32900,41600,42200
1178,153472,0.0,0.0,0.0,0.0,4,0.509047619,2143.0,25100,32400,34700,29000,38400,41800
1179,153524,0.0,0.0,0.0,0.0,4,0.467469189,3523.0,26500,33100,38000,32400,39600,45500
1180,153533,0.0,0.0,0.0,0.0,4,0.492600423,1134.0,28300,34300,35600,31500,37200,41800
1184,153603,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.462423697,30116.0,40700,43700,45300,53500,54900,57600
1185,153621,0.0,0.0,0.0,0.0,4,0.460916442,602.0,28700,31800,38400,36400,39200,44500
1186,153630,0.0,0.0,0.0,0.0,4,0.53999414,4033.0,26400,29800,33300,30800,38700,38800
1187,153658,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.562304321,23349.0,53800,45500,46200,67300,58700,61400
1188,153737,0.0,0.0,0.0,0.0,4,0.532641183,8958.0,25900,33800,34900,32200,39400,43700
1193,153825,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.463525836,1362.0,35800,36000,40000,44500,49500,52100
1194,153834,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.524271845,2008.0,28300,37300,40000,48200,49400,55400
1196,153922,0.0,0.0,0.0,0.0,4,0.588005215,1019.0,23100,30100,31900,26700,34900,42400
1197,153977,0.0,0.0,0.0,0.0,4,0.863084922,755.0,41700,43900,46100,46400,46800,51000
1198,154004,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.577669903,1270.0,35200,36800,40200,46600,46500,50000
1199,154013,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.717241379,1502.0,39300,44200,45500,48800,48900,47900
1200,154022,0.0,0.0,Degree in Computer Science,0.0,8,0.779918379,31046.0,24200,37900,55100,31200,47400,57100
1201,154059,0.0,0.0,0.0,0.0,4,0.54368932,1682.0,26100,30300,34900,32200,38700,45200
1202,154095,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.595083488,9686.0,37700,38500,41000,47100,48600,51400
1203,154101,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.549682875,1014.0,33900,35400,37100,36500,38200,43300
1204,154110,0.0,0.0,0.0,0.0,4,0.604848485,2210.0,26100,33600,34700,31600,37100,43600
1205,154129,0.0,0.0,0.0,0.0,4,0.5,765.0,37500,40200,49500,40200,45600,59300
1210,154235,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.595194085,2354.0,38000,42100,42400,44600,49500,53600
1214,154350,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.552,1406.0,35600,39600,41800,43100,52600,52800
1215,154378,0.0,0.0,0.0,0.0,4,0.593904448,1676.0,24400,31200,37300,27900,34700,39200
1216,154396,0.0,0.0,0.0,0.0,4,0.54556962,879.0,27100,31100,34400,31000,34800,41700
1220,154493,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.677285319,4058.0,32300,43800,49600,35900,49200,54100
1221,154518,0.0,0.0,0.0,0.0,4,0.443698732,2053.0,31600,31100,36000,35000,38700,50300
1222,154527,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.541411043,1493.0,36400,39400,42400,45100,49500,52800
1225,154572,0.0,0.0,0.0,0.0,4,0.554477283,3110.0,25800,31600,33600,29300,37400,40300
1226,154590,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.411564626,1184.0,30500,37700,43500,36200,44900,57700
1227,154642,0.0,0.0,0.0,0.0,4,0.63368669,2423.0,25400,29300,32300,29800,37400,43800
1228,154688,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.599246231,1465.0,38300,47700,53900,45800,57200,67600
1229,154697,0.0,0.0,0.0,0.0,4,0.596774194,2180.0,24500,32600,34700,33700,34800,43500
1230,154712,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.498098859,1826.0,32400,34700,36400,37200,47600,46500
1231,154721,0.0,Degree in Math,0.0,0.0,4,0.340292276,710.0,31300,31300,33300,41100,43200,49300
1234,154800,0.0,0.0,0.0,0.0,4,0.596389725,7266.0,28600,31900,34200,31100,39200,42100
1236,154907,0.0,0.0,0.0,0.0,4,0.625144175,1080.0,24100,31800,35300,28400,35800,42600
1237,154925,0.0,0.0,0.0,0.0,4,0.376195537,1044.0,26200,29300,35600,28000,42900,47700
1238,154934,0.0,0.0,0.0,0.0,4,0.743333333,799.0,28100,32400,36800,33300,37500,41100
1239,154952,0.0,0.0,0.0,0.0,4,0.598489616,2697.0,26100,32500,31000,32400,39100,41200
1242,155025,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.627705628,3499.0,30100,32400,36000,37700,40100,42700
1244,155061,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.636003726,12174.0,32900,36200,41100,38200,43600,45800
1246,155089,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.552262091,1110.0,31900,42200,51000,33200,48500,57400
1247,155098,0.0,0.0,0.0,0.0,4,0.477348066,1137.0,27700,33500,33000,33200,36100,40100
1248,155104,0.0,0.0,0.0,0.0,4,0.438580528,1516.0,25900,33600,30600,31300,37200,52800
1251,155177,0.0,0.0,0.0,0.0,4,0.578313253,439.0,32500,38400,36700,44600,44400,42600
1252,155186,0.0,0.0,0.0,0.0,4,0.521551724,1842.0,25600,32000,34500,31200,35400,44800
1253,155195,0.0,0.0,0.0,0.0,4,0.575121163,3739.0,26100,34100,36600,32000,39100,45600
1255,155210,0.0,0.0,0.0,0.0,4,0.572891698,11418.0,28900,34100,35700,37500,42900,44800
1256,155283,0.0,0.0,0.0,0.0,4,0.872982821,516.0,20700,32900,35900,25600,34000,30500
1257,155292,0.0,0.0,0.0,0.0,4,0.62528824,4088.0,25400,34200,37200,29600,38800,44100
1259,155317,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.547597184,18903.0,47700,45200,44000,62800,57800,58700
1260,155335,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.726126126,1103.0,37400,40600,40800,42400,50100,51000
1262,155399,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.520871143,18171.0,38900,40100,43400,50300,49000,54700
1263,155414,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.424063116,671.0,35900,33100,39100,39600,41500,48400
1264,155423,0.0,0.0,0.0,0.0,4,0.591224863,1377.0,31300,38300,40300,37200,46200,47700
1265,155450,0.0,0.0,0.0,0.0,4,0.684867395,1566.0,27900,30000,38800,33800,37500,40800
1266,155487,0.0,0.0,0.0,0.0,4,0.479518072,480.0,36200,44800,48300,41300,44000,51300
1268,155511,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.368181818,688.0,34300,37100,40500,34600,41700,49400
1269,155520,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.580683157,1215.0,42500,42300,50000,37400,48300,56800
1270,155566,0.0,0.0,0.0,0.0,4,0.680634202,1174.0,28500,32200,34200,32500,39700,41100
1271,155593,0.0,0.0,0.0,0.0,4,0.361247948,572.0,32200,35400,41800,37500,42100,46500
1273,155627,0.0,B.S. Math,0.0,0.0,4,0.62745098,670.0,31100,43500,47600,40900,46800,57800
1274,155636,0.0,B.S. Math,Degree in Computer Science,0.0,4,0.62745098,334.0,31100,43500,47600,40900,46800,57800
1275,155681,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.511989903,5340.0,35400,37800,40200,40700,44300,48400
1276,155715,0.0,0.0,0.0,0.0,4,0.490740741,651.0,33000,39900,46500,34700,41400,50000
1280,155900,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.462643678,1096.0,34900,42800,44100,48400,55000,57500
1281,155937,0.0,Degree in Math,0.0,0.0,4,0.373333333,612.0,31200,30700,33100,43100,37400,42200
1282,155973,0.0,Degree in Math,0.0,0.0,4,0.451690821,632.0,37100,35000,40400,42800,41800,50900
1283,156082,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.591224863,4926.0,31300,38300,40300,37200,46200,47700
1284,156107,0.0,0.0,0.0,0.0,4,0.542087542,2388.0,27000,40100,39000,31400,39500,36600
1285,156125,Degree in Engineering,Degree in Math,0.0,0.0,4,0.593413979,10970.0,35500,40500,40800,41400,46200,49200
1286,156134,0.0,0.0,0.0,0.0,4,0.48911353,938.0,22100,31000,35400,29100,43800,53400
1288,156213,Degree in Engineering,Degree in Math,0.0,0.0,5,0.61549101,1610.0,25800,29300,30900,31500,43000,42100
1292,156286,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.67937034,2474.0,41800,39200,46200,49300,47800,53200
1297,156365,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.615101289,2365.0,25700,30200,31700,31900,35800,39400
1298,156392,0.0,0.0,0.0,0.0,5,0.586036805,8017.0,22800,30900,33000,25300,37000,37900
1302,156471,0.0,0.0,0.0,0.0,5,0.871165644,1703.0,37800,46600,47100,41900,46200,51500
1303,156541,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.56498471,2085.0,24700,28300,32800,35500,37000,42900
1304,156620,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.581434729,12750.0,28800,33000,37300,34900,39700,44600
1305,156648,0.0,0.0,0.0,0.0,5,0.597745685,4386.0,22500,30700,30900,28200,35600,36400
1307,156745,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.525754885,1029.0,28700,32700,33900,40100,45800,56700
1312,156860,0.0,0.0,0.0,0.0,5,0.656976744,2098.0,23000,29700,35900,28800,35900,36200
1313,156921,0.0,0.0,0.0,0.0,5,0.591598816,9303.0,23200,31300,34300,28000,37300,39500
1315,157021,0.0,0.0,Degree in Computer Science,0.0,5,0.857315599,232.0,18700,26100,27500,21200,28000,33800
1317,157058,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.576437588,1349.0,22700,28200,27700,27800,32300,39000
1318,157076,0.0,Degree in Math,0.0,0.0,5,0.455188679,688.0,26600,29000,34700,37500,43000,42600
1319,157085,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.568774704,22078.0,49200,42000,40700,53700,52600,55300
1320,157100,0.0,0.0,0.0,0.0,5,0.434640523,477.0,25200,30000,35000,38000,35400,36400
1322,157216,0.0,Degree in Math,0.0,0.0,5,0.626822157,1958.0,22600,27700,31000,28100,32600,37700
1323,157270,0.0,0.0,Degree in Computer Science,0.0,5,0.321543408,295.0,27500,35200,39300,36000,39200,40200
1324,157289,Degree in Engineering,Degree in Math,0.0,0.0,5,0.551316985,14550.0,37200,37200,39900,48100,47700,50100
1326,157304,0.0,0.0,0.0,0.0,5,0.724489796,2055.0,24900,29500,32900,28500,37400,41900
1328,157377,0.0,B.S. Math,0.0,0.0,5,0.783359498,989.0,27900,37100,40600,30400,38900,44600
1329,157386,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.617559524,6410.0,28000,30500,32400,33000,37200,44800
1330,157401,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.626537217,7218.0,29400,33300,36500,38700,42000,46500
1331,157438,0.0,0.0,0.0,0.0,5,0.600732601,3090.0,21500,35600,35600,27700,35900,36700
1332,157447,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.585591133,10728.0,32300,34200,38100,38100,42900,44200
1334,157483,0.0,0.0,0.0,0.0,5,0.630130807,3515.0,23700,30200,33800,27900,36200,40200
1335,157535,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.492044064,1088.0,30100,34900,32800,33200,41000,52300
1337,157599,0.0,0.0,0.0,0.0,5,0.677497162,208.0,25200,30200,32000,29300,33100,35300
1338,157614,0.0,0.0,0.0,0.0,5,0.94779478,104.0,16700,22800,17600,21300,23600,28100
1339,157650,0.0,0.0,0.0,0.0,5,0.948168007,124.0,18300,26600,25600,22400,30100,30400
1342,157711,0.0,0.0,0.0,0.0,5,0.623652602,4435.0,20400,26400,31600,24700,31600,39300
1345,157757,0.0,0.0,0.0,0.0,5,0.740963855,1080.0,31500,42000,44600,45600,46600,56300
1346,157766,0.0,0.0,0.0,0.0,5,0.856596558,381.0,22900,32800,35000,28400,37200,36800
1347,157793,0.0,0.0,Degree in Computer Science,0.0,5,0.662571977,2471.0,24000,33600,34700,28900,39600,41800
1348,157809,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.479815456,1399.0,34400,44200,52800,49000,54300,64800
1351,157863,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.457912458,984.0,24800,29200,35100,30700,37700,43300
1352,157951,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.602534738,14529.0,26900,32100,34100,33700,40100,42800
1357,158431,0.0,0.0,0.0,0.0,5,0.639582388,5975.0,25200,31300,36100,32400,41100,43900
1363,158662,0.0,0.0,0.0,0.0,5,0.644581221,13180.0,26100,33300,38300,31300,40100,46400
1369,159009,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.548977854,4072.0,24700,26600,31700,30400,34300,38900
1371,159197,0.0,0.0,0.0,0.0,5,0.184131737,622.0,44200,60500,65500,51100,64200,81200
1374,159373,0.0,0.0,0.0,0.0,5,0.840963855,921.0,69400,69200,58100,122700,82700,67500
1375,159382,0.0,Degree in Math,0.0,0.0,5,0.681665547,2662.0,31400,33600,37000,32200,40000,45500
1376,159391,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.572788919,23331.0,45500,43100,45800,63700,57000,59900
1377,159407,0.0,0.0,0.0,0.0,5,0.738238842,2444.0,27000,32900,38100,32900,39800,43500
1378,159416,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.664489796,2237.0,33300,39100,37700,36900,43000,48600
1382,159568,0.0,Degree in Math,0.0,0.0,5,0.440414508,935.0,31700,35400,39900,45700,46800,51200
1384,159647,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.486405836,8277.0,35400,37700,43200,45100,48700,54200
1385,159656,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.643323996,2534.0,34500,37800,35800,53100,50500,52900
1386,159717,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.637117904,5956.0,34100,38000,39500,39800,48600,49100
1387,159939,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.578884935,5917.0,33700,36700,36600,40500,44100,50100
1389,159966,0.0,Degree in Math,0.0,0.0,5,0.634654679,5401.0,32700,39200,40900,39000,46000,49800
1390,159993,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.697550586,6121.0,37800,37000,40100,40400,48100,56700
1393,160038,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.734355366,7994.0,32200,35600,42200,35400,41400,47500
1394,160065,0.0,0.0,0.0,0.0,5,0.893280632,743.0,35200,40900,42700,41200,39100,41500
1395,160074,0.0,0.0,0.0,0.0,5,0.893108298,1168.0,46200,46100,47000,45000,53400,52100
1400,160320,0.0,0.0,0.0,0.0,5,0.95290611,2265.0,23500,26500,26300,25900,29500,28000
1405,160524,0.0,0.0,0.0,0.0,5,0.77140975,421.0,22200,27200,26100,26500,33700,29600
1408,160612,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.639431616,10929.0,32500,35600,36300,39500,42900,48100
