,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
118,106148,0.0,0.0,0.0,0.0,6,0.563628727,4682.0,25500,34400,38600,30900,39000,41500
119,106245,Degree in Engineering,B.S. Math,Degree in Computer Science,0.0,5,0.646490999,6677.0,30600,37500,41000,34800,42900,47900
120,106263,0.0,0.0,0.0,0.0,5,0.8375,633.0,64500,66300,74900,63300,65100,84500
127,106397,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.558819396,22763.0,38100,40700,43200,48600,51700,57200
128,106412,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.596085409,2510.0,22700,24400,28000,28900,31100,40200
129,106449,0.0,0.0,0.0,0.0,5,0.598130841,2645.0,24200,28700,30700,29300,36300,40600
130,106458,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.610874916,8856.0,28100,33100,34900,32200,38400,45900
131,106467,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.566136413,8247.0,27000,33500,38700,33300,40000,48000
132,106485,0.0,Degree in Math,0.0,0.0,5,0.537007874,2589.0,23300,31700,36200,31200,39600,45000
136,106704,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.616556129,9034.0,29900,32900,35600,37900,43600,47000
146,107044,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.568291009,4147.0,32800,35000,37000,44300,42700,50600
147,107071,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.554341576,2829.0,27800,30400,30600,40500,38800,42600
151,107141,Degree in Engineering,Degree in Math,0.0,0.0,5,0.615584416,1606.0,34900,45100,52800,45500,53200,63900
159,107512,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.494505495,1513.0,34600,34300,34800,47400,44700,46200
162,107558,0.0,Degree in Math,0.0,0.0,5,0.485955056,745.0,28600,29700,27600,38500,34900,42200
168,107664,0.0,0.0,0.0,0.0,5,0.613836121,5184.0,22000,30500,33600,27000,37900,37700
174,107877,0.0,0.0,Degree in Computer Science,0.0,5,0.434615385,452.0,27100,28000,33900,31000,38700,39900
176,107983,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.561941964,3153.0,27000,33600,33900,35500,41000,45700
179,108092,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.563676633,5455.0,27900,32400,35600,30800,38300,43200
180,108232,0.0,0.0,Degree in Computer Science,0.0,8,0.573198198,7520.0,28600,35700,35700,44800,48500,49500
190,109040,0.0,0.0,0.0,0.0,8,0.783032319,1237.0,24500,32700,36200,31700,40800,54200
192,109208,0.0,0.0,0.0,0.0,8,0.574448035,29082.0,25700,33500,42000,35800,44300,54300
194,109651,0.0,0.0,Degree in Computer Science,0.0,8,0.55234657,1974.0,48400,52300,47100,56400,63500,71200
197,109785,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.725888325,5560.0,44400,48000,50000,52100,51800,60200
202,110097,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.667792032,4039.0,34500,42000,38700,40900,47300,56800
205,110246,0.0,0.0,0.0,0.0,8,0.512608604,10188.0,27200,32700,45000,34400,41700,54500
209,110361,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.66061706,7397.0,36200,39500,42600,40700,47200,51700
210,110370,0.0,0.0,0.0,0.0,8,0.618918919,1475.0,36300,35800,36500,45000,57300,44200
213,110413,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.617228464,2959.0,40300,41100,46100,54900,60800,61600
214,110422,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.502962625,21303.0,51000,53000,57400,68400,73500,77900
216,110486,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.642660551,8705.0,37500,39100,44100,49000,50500,52900
217,110495,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.677172654,9054.0,38500,38100,43000,47700,47800,52000
218,110510,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.624712296,18088.0,34700,39500,40500,46100,50200,53800
219,110529,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.494709646,24205.0,42700,42500,43900,57300,57000,61400
220,110538,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.574591709,16546.0,40600,42800,45500,52800,55000,59300
221,110547,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.657280772,13258.0,34100,40400,52900,44000,52800,57800
222,110556,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.621197252,21877.0,36000,36400,41500,46500,48800,54100
223,110565,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.598007937,35045.0,37400,39500,39300,50200,52200,55100
224,110574,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.659212283,13433.0,42000,48800,48900,55000,61000,65500
225,110583,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.590154456,31402.0,39400,40200,41000,51600,54400,54300
226,110592,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.605779856,24780.0,36200,38100,40600,48600,51200,55900
227,110608,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.57945548,35620.0,36700,37800,38800,48400,50800,51900
228,110617,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.593394176,28410.0,40300,42800,43800,51900,54900,58300
229,110635,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.546496254,30574.0,57000,56100,60100,75300,82700,80100
230,110644,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.626724138,30046.0,45200,42700,47900,69600,67300,67200
231,110653,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.566089737,29295.0,43700,43600,45600,66200,66900,64600
232,110662,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.603156959,30994.0,52900,50300,52400,74300,72100,72800
233,110671,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.576886903,20044.0,36000,35300,40000,56400,52600,57300
234,110680,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.519856077,28577.0,47200,47900,50000,72900,67200,68300
236,110705,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.577854131,22181.0,41400,42000,44600,56800,60400,68200
237,110714,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.543057997,17577.0,37900,37500,39300,51900,53000,55900
